gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
ENSG00000128052.10	KDR	protein_coding	1735	885	850	21.0478	5.7802	5.8930
ENSG00000128052.10	KDR	protein_coding	1256	658	598	17.6153	4.5622	4.3367
ENSG00000128052.10	KDR	protein_coding	1564	760	804	20.4762	6.2607	6.0711
ENSG00000128052.10	KDR	protein_coding	1159	580	579	7.0034	1.9736	1.9013
ENSG00000128052.10	KDR	protein_coding	1688	803	885	16.6394	4.3951	4.3418
ENSG00000128052.10	KDR	protein_coding	2179	1060	1119	20.2494	6.7777	7.1406
ENSG00000128052.10	KDR	protein_coding	5405	2711	2694	47.9847	12.7739	12.4714
ENSG00000128052.10	KDR	protein_coding	4113	2032	2081	36.3369	8.7432	9.6975
ENSG00000128052.10	KDR	protein_coding	387	188	199	3.8004	1.2960	1.3687
ENSG00000128052.10	KDR	protein_coding	2646	1323	1323	23.0622	9.3170	10.3683
ENSG00000128052.10	KDR	protein_coding	7746	3927	3820	40.6649	13.5775	12.7555
ENSG00000128052.10	KDR	protein_coding	1506	710	796	19.4274	5.0506	5.1489
ENSG00000128052.10	KDR	protein_coding	3240	1641	1599	29.0235	8.5040	8.6486
ENSG00000128052.10	KDR	protein_coding	3933	1936	1997	55.3148	17.2512	16.3301
ENSG00000128052.10	KDR	protein_coding	1819	890	930	21.0112	5.6944	5.5979
ENSG00000128052.10	KDR	protein_coding	1461	732	729	8.5773	3.7052	3.4301
ENSG00000128052.10	KDR	protein_coding	2716	1359	1357	29.9917	7.4461	7.1725
ENSG00000128052.10	KDR	protein_coding	2097	1034	1063	15.0899	5.2296	5.3474
ENSG00000128052.10	KDR	protein_coding	4338	2235	2103	39.1268	9.7404	9.7509
ENSG00000128052.10	KDR	protein_coding	2576	1226	1350	34.4872	10.1388	10.2013
ENSG00000128052.10	KDR	protein_coding	1089	521	568	14.3209	3.7607	3.5658
ENSG00000128052.10	KDR	protein_coding	654	332	322	5.1113	1.6385	1.7552
ENSG00000128052.10	KDR	protein_coding	3145	1599	1546	29.9384	8.0942	7.8923
ENSG00000128052.10	KDR	protein_coding	1937	951	986	17.4822	5.6321	5.1750
ENSG00000128052.10	KDR	protein_coding	3550	1703	1847	30.8045	7.8750	7.3644
ENSG00000128052.10	KDR	protein_coding	1574	816	758	22.7401	6.3563	5.8365
ENSG00000128052.10	KDR	protein_coding	5738	2866	2872	46.8627	12.0785	11.7497
ENSG00000128052.10	KDR	protein_coding	2237	1132	1105	25.1440	6.0284	5.4411
ENSG00000128052.10	KDR	protein_coding	1323	644	679	9.7664	2.8340	2.9949
ENSG00000128052.10	KDR	protein_coding	3829	1899	1930	44.6169	13.2708	12.6983
ENSG00000128052.10	KDR	protein_coding	2819	1384	1435	21.9986	5.8504	5.3843
ENSG00000128052.10	KDR	protein_coding	7241	3712	3529	46.3772	11.9836	11.3877
ENSG00000128052.10	KDR	protein_coding	2105	984	1121	17.2146	7.0812	7.1060
ENSG00000128052.10	KDR	protein_coding	460	215	245	3.6546	2.5170	5.0360
ENSG00000128052.10	KDR	protein_coding	2379	1233	1146	23.3926	8.2943	7.5454
ENSG00000128052.10	KDR	protein_coding	1128	576	552	9.4111	2.6746	2.4540
ENSG00000128052.10	KDR	protein_coding	4082	2046	2036	32.6989	12.7279	13.3583
ENSG00000128052.10	KDR	protein_coding	4894	2372	2522	43.4803	11.3421	11.4566
ENSG00000128052.10	KDR	protein_coding	1472	716	756	13.6290	4.4016	4.4678
ENSG00000128052.10	KDR	protein_coding	2167	1151	1016	18.2486	5.9866	6.7465
ENSG00000128052.10	KDR	protein_coding	2546	1255	1291	20.2346	5.4364	5.4621
ENSG00000128052.10	KDR	protein_coding	11561	5768	5793	77.7922	24.1715	27.4849
ENSG00000128052.10	KDR	protein_coding	2551	1252	1299	26.4266	7.0790	6.7816
ENSG00000128052.10	KDR	protein_coding	663	356	307	5.1255	1.7680	1.8067
ENSG00000128052.10	KDR	protein_coding	1885	972	913	13.5703	4.3801	4.4545
ENSG00000128052.10	KDR	protein_coding	1423	696	727	18.5934	6.1718	6.2431
ENSG00000128052.10	KDR	protein_coding	2584	1318	1266	21.7402	6.1999	5.8383
ENSG00000128052.10	KDR	protein_coding	6950	3432	3520	64.3713	18.3702	17.4912
ENSG00000128052.10	KDR	protein_coding	2875	1455	1420	18.2952	5.4691	5.5078
ENSG00000128052.10	KDR	protein_coding	1330	660	670	13.9762	4.3431	4.3040
ENSG00000128052.10	KDR	protein_coding	626	321	305	6.5933	3.0957	3.7896
ENSG00000128052.10	KDR	protein_coding	1980	992	988	16.2559	4.8726	5.1175
ENSG00000128052.10	KDR	protein_coding	4648	2331	2317	45.7348	13.8972	14.7786
ENSG00000128052.10	KDR	protein_coding	1250	591	659	12.1725	3.4528	3.3480
ENSG00000128052.10	KDR	protein_coding	3370	1654	1716	36.7545	10.0080	9.4132
ENSG00000128052.10	KDR	protein_coding	632	323	309	9.9314	2.7522	2.5097
ENSG00000128052.10	KDR	protein_coding	763	369	394	7.9580	2.3536	2.3244
ENSG00000128052.10	KDR	protein_coding	4440	2242	2198	31.2240	8.2413	9.0867
ENSG00000128052.10	KDR	protein_coding	2815	1362	1454	24.3233	12.4329	12.2916
ENSG00000128052.10	KDR	protein_coding	4202	2077	2125	34.2659	9.6979	9.6714
ENSG00000128052.10	KDR	protein_coding	3350	1626	1724	28.0739	8.8123	8.3928
ENSG00000128052.10	KDR	protein_coding	3260	1639	1621	30.8459	9.8530	10.4638
ENSG00000128052.10	KDR	protein_coding	3105	1515	1590	32.6078	8.5630	8.4342
ENSG00000128052.10	KDR	protein_coding	2949	1474	1475	25.5481	6.4719	6.1330
ENSG00000128052.10	KDR	protein_coding	3867	1965	1902	34.7922	8.7683	8.2961
ENSG00000128052.10	KDR	protein_coding	2921	1417	1504	30.3783	8.0092	7.7243
ENSG00000128052.10	KDR	protein_coding	10061	5162	4902	78.8759	19.8019	19.9739
ENSG00000128052.10	KDR	protein_coding	636	314	322	6.5269	2.1349	2.3689
ENSG00000128052.10	KDR	protein_coding	2027	1057	970	14.4463	7.2243	9.6712
ENSG00000128052.10	KDR	protein_coding	1043	528	515	14.5964	4.1402	4.1935
ENSG00000128052.10	KDR	protein_coding	1445	665	780	8.9370	5.0249	5.6655
ENSG00000128052.10	KDR	protein_coding	1112	508	604	16.7874	4.4845	4.1569
ENSG00000128052.10	KDR	protein_coding	6534	3303	3231	40.3252	11.2803	11.8220
ENSG00000128052.10	KDR	protein_coding	2621	1284	1337	26.1623	6.7673	7.0663
ENSG00000128052.10	KDR	protein_coding	2535	1248	1287	42.1782	12.2349	11.7829
ENSG00000128052.10	KDR	protein_coding	1220	0	1220	8.7114	4.9583	4.7625
ENSG00000128052.10	KDR	protein_coding	2479	1228	1251	27.2837	8.3215	8.0552
ENSG00000128052.10	KDR	protein_coding	2888	1489	1399	34.0222	9.5824	8.3789
ENSG00000128052.10	KDR	protein_coding	2329	1149	1180	18.5937	4.7055	4.4433
ENSG00000128052.10	KDR	protein_coding	1284	669	615	15.6792	4.3229	4.0415
ENSG00000128052.10	KDR	protein_coding	4727	2367	2360	58.9025	15.8243	15.8829
ENSG00000128052.10	KDR	protein_coding	978	486	492	12.1843	3.8008	3.9547
ENSG00000128052.10	KDR	protein_coding	2868	1421	1447	31.3268	9.6248	9.3947
ENSG00000128052.10	KDR	protein_coding	3477	1764	1713	28.3607	7.7472	6.9709
ENSG00000128052.10	KDR	protein_coding	2633	1320	1313	37.3729	10.6182	10.4683
ENSG00000128052.10	KDR	protein_coding	1853	948	906	20.1415	6.1426	6.9175
ENSG00000128052.10	KDR	protein_coding	2996	1470	1526	32.4796	8.8617	8.5501
ENSG00000128052.10	KDR	protein_coding	2870	1418	1452	31.5087	8.7437	9.0232
ENSG00000128052.10	KDR	protein_coding	4001	2009	1993	44.7045	12.6488	13.2066
ENSG00000128052.10	KDR	protein_coding	1413	708	705	7.8398	4.1019	5.7446
ENSG00000128052.10	KDR	protein_coding	1255	653	603	20.0577	5.9615	5.8663
ENSG00000128052.10	KDR	protein_coding	3719	1866	1853	38.6795	10.1065	10.8450
ENSG00000128052.10	KDR	protein_coding	6575	3190	3385	78.1974	19.6144	19.4905
ENSG00000128052.10	KDR	protein_coding	3108	1550	1558	31.4236	8.4402	7.9297
ENSG00000128052.10	KDR	protein_coding	5736	2936	2800	48.2326	12.3340	11.9231
ENSG00000128052.10	KDR	protein_coding	4530	2267	2263	22.1350	8.5194	8.7845
ENSG00000128052.10	KDR	protein_coding	3951	1945	2006	43.4753	16.0691	17.9617
ENSG00000128052.10	KDR	protein_coding	509	261	248	7.4919	2.4545	2.2692
ENSG00000128052.10	KDR	protein_coding	1437	742	695	9.6978	4.1670	4.3647
ENSG00000128052.10	KDR	protein_coding	8618	4269	4349	67.5183	21.0732	21.2345
ENSG00000128052.10	KDR	protein_coding	3506	1792	1715	29.7652	8.2106	8.0133
ENSG00000128052.10	KDR	protein_coding	356	198	158	3.3627	1.4385	1.8486
ENSG00000128052.10	KDR	protein_coding	3931	1913	2018	40.7794	12.1718	12.6371
ENSG00000128052.10	KDR	protein_coding	2711	1361	1350	18.1390	7.4399	8.4274
ENSG00000128052.10	KDR	protein_coding	3164	1562	1602	27.9132	8.6174	8.8207
ENSG00000128052.10	KDR	protein_coding	803	394	409	6.4715	2.1674	2.1716
ENSG00000128052.10	KDR	protein_coding	3497	1720	1778	23.9542	6.8561	7.3153
ENSG00000128052.10	KDR	protein_coding	1835	911	924	25.7900	6.4119	6.6243
ENSG00000128052.10	KDR	protein_coding	1663	856	807	17.9237	4.5534	4.2949
ENSG00000128052.10	KDR	protein_coding	1020	499	521	7.4767	2.5802	2.7242
ENSG00000128052.10	KDR	protein_coding	4462	2218	2244	62.4763	18.3790	17.2236
ENSG00000128052.10	KDR	protein_coding	1292	642	650	13.4300	4.0844	3.7936
ENSG00000128052.10	KDR	protein_coding	347	171	176	3.8000	1.2856	1.4270
ENSG00000128052.10	KDR	protein_coding	3766	1930	1836	29.5214	8.7237	10.9043
ENSG00000128052.10	KDR	protein_coding	4851	2435	2416	31.2507	9.2368	9.3593
ENSG00000128052.10	KDR	protein_coding	4302	2052	2250	59.1293	18.0812	20.8619
ENSG00000128052.10	KDR	protein_coding	4150	2076	2074	43.3361	11.0350	10.3283
ENSG00000128052.10	KDR	protein_coding	255	124	131	3.6780	1.0863	1.0116
ENSG00000128052.10	KDR	protein_coding	2123	1051	1073	20.1674	5.9728	6.0255
ENSG00000128052.10	KDR	protein_coding	6233	3116	3117	72.8785	26.6168	34.0741
ENSG00000128052.10	KDR	protein_coding	222	2	220	6.8188	2.1574	1.9874
